UTM33_X,UTM33_Y,exposed_bedr
208486,6639640,0
208486,6639665,1
208486,6639690,1
208486,6639715,1
208486,6639740,1
208486,6639765,1
208486,6639790,1
208486,6639815,1
208486,6639840,1
208486,6639865,1
208486,6639890,1
208486,6639915,1
208486,6639940,1
208486,6639965,1
208486,6639990,1
208486,6640015,1
208486,6640040,1
208486,6640065,1
208486,6640090,1
208486,6640115,1
208486,6640140,1
208486,6640165,1
208486,6640190,1
208486,6640215,1
208486,6640240,1
208486,6640265,1
208486,6640290,1
208486,6640315,1
208486,6640340,1
208486,6640365,1
208486,6640390,1
208486,6640415,1
208486,6640440,1
208486,6640465,1
208486,6640490,1
208486,6640515,1
208486,6640540,1
208486,6640565,1
208486,6640590,1
208486,6640615,1
208486,6640640,1
208486,6640665,1
208486,6640690,1
208486,6640715,1
208486,6640740,1
208486,6640765,1
208486,6640790,1
208486,6640815,1
208486,6640840,0
208486,6640865,0
208486,6640890,0
208486,6640915,1
208486,6640940,1
208486,6640965,1
208486,6640990,1
208486,6641015,1
208486,6641040,1
208486,6641065,1
208486,6641090,1
208486,6641115,1
208486,6641140,1
208486,6641165,1
208486,6641190,1
208486,6641215,1
208486,6641240,1
208486,6641265,1
208486,6641290,1
208486,6641315,1
208486,6641340,1
208486,6641365,1
208486,6641390,1
208486,6641415,1
208486,6641440,1
208486,6641465,1
208486,6641490,0
208486,6641515,0
208486,6641540,0
208486,6641565,0
208486,6641590,0
208486,6641615,0
208486,6641640,1
208486,6641665,1
208486,6641690,1
208486,6641715,1
208486,6641740,1
208486,6641765,1
208486,6641790,1
208486,6641815,1
208486,6641840,1
208486,6641865,1
208486,6641890,1
208486,6641915,1
208486,6641940,0
208486,6641965,0
208486,6641990,0
208486,6642015,0
208486,6642040,0
208486,6642065,0
208486,6642090,0
208486,6642115,0
208486,6642140,0
208486,6642165,0
208486,6642190,0
208486,6642215,0
208486,6642240,0
208486,6642265,0
208486,6642290,0
208486,6642315,0
208486,6642340,1
208486,6642365,1
208486,6642390,1
208486,6642415,1
208486,6642440,1
208486,6642465,1
208486,6642490,1
208486,6642515,1
208486,6642540,1
208486,6642565,1
208486,6642590,1
208486,6642615,1
208486,6642640,1
208486,6642665,1
208486,6642690,1
208486,6642715,1
208486,6642740,1
208486,6642765,1
208486,6642790,1
208486,6642815,1
208486,6642840,1
208486,6642865,1
208486,6642890,1
208486,6642915,1
208486,6642940,1
208486,6642965,1
208486,6642990,1
208486,6643015,1
208486,6643040,1
208486,6643065,1
208486,6643090,1
208486,6643115,1
208486,6643140,1
208486,6643165,1
208486,6643190,1
208486,6643215,1
208486,6643240,1
208486,6643265,1
208486,6643290,1
208486,6643315,1
208486,6643340,1
208486,6643365,1
208486,6643390,1
208486,6643415,1
208486,6643440,1
208486,6643465,1
208486,6643490,1
208486,6643515,1
208486,6643540,1
208486,6643565,1
208486,6643590,1
208486,6643615,1
208486,6643640,1
208486,6643665,1
208486,6643690,1
208486,6643715,1
208486,6643740,1
208486,6643765,1
208486,6643790,1
208486,6643815,1
208486,6643840,1
208486,6643865,1
208486,6643890,1
208486,6643915,1
208486,6643940,1
208486,6643965,1
208486,6643990,1
208486,6644015,1
208486,6644040,1
208486,6644065,1
208486,6644090,1
208486,6644115,1
208486,6644140,1
208486,6644165,1
208486,6644190,1
208486,6644215,1
208486,6644240,1
208486,6644265,1
208486,6644290,1
208486,6644315,1
208486,6644340,1
208486,6644365,1
208486,6644390,1
208486,6644415,1
208486,6644440,1
208486,6644465,1
208486,6644490,1
208486,6644515,1
208486,6644540,1
208486,6644565,1
208486,6644590,1
208486,6644615,1
208486,6644640,1
208486,6644665,1
208486,6644690,1
208486,6644715,1
208486,6644740,1
208486,6644765,1
208486,6644790,1
208486,6644815,1
208486,6644840,1
208486,6644865,1
208486,6644890,1
208486,6644915,1
208486,6644940,1
208486,6644965,1
208486,6644990,1
208486,6645015,1
208486,6645040,1
208486,6645065,1
208486,6645090,1
208486,6645115,1
208486,6645140,1
208486,6645165,1
208486,6645190,1
208486,6645215,1
208486,6645240,1
208486,6645265,1
208486,6645290,1
208486,6645315,1
208486,6645340,1
208486,6645365,1
208486,6645390,1
208486,6645415,1
208486,6645440,1
208486,6645465,1
208486,6645490,1
208486,6645515,1
208486,6645540,1
208486,6645565,1
208486,6645590,1
208486,6645615,1
208486,6645640,1
208486,6645665,1
208511,6636490,1
208511,6636515,1
208511,6636540,1
208511,6636565,1
208511,6636590,1
208511,6636615,1
208511,6636640,1
208511,6636665,1
208511,6636690,1
208511,6636715,1
208511,6636740,1
208511,6636765,1
208511,6636790,1
208511,6636815,1
208511,6636840,0
208511,6636865,0
208511,6636890,1
208511,6636915,1
208511,6636940,1
208511,6636965,1
208511,6636990,1
208511,6637015,1
208511,6637040,0
208511,6637065,0
208511,6637090,0
208511,6637115,0
